1	134,211
2	82,527
3	76,334
4	77,903
5	89,286
6	103,29
8	120,384
10	142,311
12	176,614
14	189,908
16	216,236
18	244,019
20	274,831
22	298,775
24	336,394
26	368,231
28	403,556
30	431,82
32	463,927
34	510,095
36	535,367
38	574,759
40	620,963
42	682,638
44	723,99
46	765,658
48	805,647
