1	23.9713822481225
2	56.9586564493186
3	69.0726380030285
4	72.0758959298857
5	73.3446519524618
6	72.8869361721654
8	71.9745636978235
10	68.3679010079689
12	65.0797656739932
14	61.4796035424219
16	56.5908013276434
18	52.750883311155
20	47.7435415041527
22	43.0994661894492
24	36.5966135915202
26	29.9928111473103
28	25.4856299423362
30	19.5988008381896
32	12.7521834228116
34	4.12135395157467
36	-2.24881078021995
38	-14.4687131953685
40	-23.4868994631303
42	-28.9336025329234
44	-36.5545511555698
46	-45.3926337203078
48	-53.540509949678

